architecture,seed,forgotten_domain,model,evaluation_domain,evaluation_scope,accuracy,balanced_accuracy,precision_attack,recall_attack,f1_attack,roc_auc,average_precision,log_loss,true_negative,false_positive,false_negative,true_positive,samples,attack_rate
numerical_feature_transformer,2026,NF-ToN-IoT,retrained,NF-CSE-CIC-IDS2018,retained,0.9767630600999531,0.9186590284340364,0.9974802015838733,0.8376662636033857,0.9106145251396648,0.9564308653241128,0.9245669682056286,0.10574495108346268,20096.0,7.0,537.0,2771.0,23411.0,0.14130109777455044
numerical_feature_transformer,2026,NF-ToN-IoT,retrained,RETAINED_MACRO,retained_macro,0.9889410591122886,0.8920580840207645,0.9976831780426076,0.9417428541862826,0.9673880790530712,0.9610133968974975,0.9738567348259753,0.04351966261495812,39487.0,30.0,759.0,28989.0,69265.0,0.4294809788493467
numerical_feature_transformer,2026,NF-BoT-IoT,original,NF-UNSW-NB15,retained,0.9980936040415594,0.9883889267954069,0.9980891719745223,0.976932668329177,0.9873976055450535,0.999868446079558,0.9953984451954956,0.005620020804474411,19375.0,3.0,37.0,1567.0,20982.0,0.07644647793346677
numerical_feature_transformer,2026,NF-BoT-IoT,original,NF-ToN-IoT,retained,0.8299335319734128,0.7822013031103219,0.8904813833930518,0.8797906726181315,0.8851037472901827,0.7639680197500133,0.8367612991205162,0.5101396218332253,1526.0,703.0,781.0,5716.0,8726.0,0.7445564978225991
numerical_feature_transformer,2026,NF-BoT-IoT,original,NF-BoT-IoT,forgotten,0.9932454165326472,0.6498988922889712,0.9989885913099765,0.9942422290223869,0.9966097590507326,0.9362831284336358,0.9998845309291368,0.02041975510368469,11.0,25.0,143.0,24693.0,24872.0,0.9985525892569959
numerical_feature_transformer,2026,NF-BoT-IoT,original,NF-CSE-CIC-IDS2018,retained,0.9555337234633292,0.9281435793090012,0.8130350731842032,0.8899637243047158,0.8497618703997691,0.9589796195301574,0.9256639548015417,0.1632995156457003,19426.0,677.0,364.0,2944.0,23411.0,0.14130109777455044
numerical_feature_transformer,2026,NF-BoT-IoT,original,RETAINED_MACRO,retained_macro,0.9278536198261005,0.8995779364049099,0.9005352095172592,0.9155623550840081,0.9074210744116685,0.9076053617865764,0.9192745663725178,0.22635305276113335,40327.0,1383.0,1182.0,10227.0,53119.0,0.21478190477983397
numerical_feature_transformer,2026,NF-BoT-IoT,rollback_repair,NF-UNSW-NB15,retained,0.9235535220665332,0.5,0.0,0.0,0.0,0.1483089803615638,0.0420431046963691,0.29623967495949,19378.0,0.0,1604.0,0.0,20982.0,0.07644647793346677
numerical_feature_transformer,2026,NF-BoT-IoT,rollback_repair,NF-ToN-IoT,retained,0.25544350217740086,0.5,0.0,0.0,0.0,0.444306904114837,0.6733783709702497,1.4512920660151285,2229.0,0.0,6497.0,0.0,8726.0,0.7445564978225991
numerical_feature_transformer,2026,NF-BoT-IoT,rollback_repair,NF-BoT-IoT,forgotten,0.0014474107430041815,0.5,0.0,0.0,0.0,0.28005549739625274,0.994604083485153,1.8926259194623458,36.0,0.0,24836.0,0.0,24872.0,0.9985525892569959
numerical_feature_transformer,2026,NF-BoT-IoT,rollback_repair,NF-CSE-CIC-IDS2018,retained,0.8586989022254495,0.5,0.0,0.0,0.0,0.2174449409001923,0.08565577343285201,0.40839209253173314,20103.0,0.0,3308.0,0.0,23411.0,0.14130109777455044
numerical_feature_transformer,2026,NF-BoT-IoT,rollback_repair,RETAINED_MACRO,retained_macro,0.6792319754897945,0.5,0.0,0.0,0.0,0.270020275125531,0.26702574969982357,0.7186412778354505,41710.0,0.0,11409.0,0.0,53119.0,0.21478190477983397
numerical_feature_transformer,2026,NF-BoT-IoT,ssd_canonical,NF-UNSW-NB15,retained,0.9980936040415594,0.9883889267954069,0.9980891719745223,0.976932668329177,0.9873976055450535,0.999868446079558,0.9953984451954956,0.005620020804474411,19375.0,3.0,37.0,1567.0,20982.0,0.07644647793346677
numerical_feature_transformer,2026,NF-BoT-IoT,ssd_canonical,NF-ToN-IoT,retained,0.8299335319734128,0.7822013031103219,0.8904813833930518,0.8797906726181315,0.8851037472901827,0.7639680197500133,0.8367612991205162,0.5101396218332253,1526.0,703.0,781.0,5716.0,8726.0,0.7445564978225991
numerical_feature_transformer,2026,NF-BoT-IoT,ssd_canonical,NF-BoT-IoT,forgotten,0.9932454165326472,0.6498988922889712,0.9989885913099765,0.9942422290223869,0.9966097590507326,0.9362831284336358,0.9998845309291368,0.02041975510368469,11.0,25.0,143.0,24693.0,24872.0,0.9985525892569959
numerical_feature_transformer,2026,NF-BoT-IoT,ssd_canonical,NF-CSE-CIC-IDS2018,retained,0.9555337234633292,0.9281435793090012,0.8130350731842032,0.8899637243047158,0.8497618703997691,0.9589796195301574,0.9256639548015417,0.1632995156457003,19426.0,677.0,364.0,2944.0,23411.0,0.14130109777455044
numerical_feature_transformer,2026,NF-BoT-IoT,ssd_canonical,RETAINED_MACRO,retained_macro,0.9278536198261005,0.8995779364049099,0.9005352095172592,0.9155623550840081,0.9074210744116685,0.9076053617865764,0.9192745663725178,0.22635305276113335,40327.0,1383.0,1182.0,10227.0,53119.0,0.21478190477983397
numerical_feature_transformer,2026,NF-BoT-IoT,ssd_canonical@alpha=1,NF-UNSW-NB15,retained,0.9980936040415594,0.9883889267954069,0.9980891719745223,0.976932668329177,0.9873976055450535,0.9998684460795579,0.9954365284986284,0.005654924202632307,19375.0,3.0,37.0,1567.0,20982.0,0.07644647793346677
